geneID,ncbiID,FAS_F,FAS_B,gene1d_x,gene2d_x,gene2d_y,gene3d_x,gene3d_y,gene3d_z
gene_67,ncbi4896,1.0,0.7466407889754115,9.093998,0.911661,3.3049989,4.3494043,8.935952,5.9205427
gene_68,ncbi4896,0.8533224958725957,0.8848887510186723,6.7524686,3.9970531,2.8551795,4.490398,7.719668,5.9496527
gene_73,ncbi4896,0.2329465304816166,0.4397785775574222,5.973873,2.813056,4.6472297,4.9059906,8.069737,5.27284
gene_76,ncbi4896,0.4518548918584937,0.2989981241286042,6.9011064,1.796474,5.1268888,5.004669,8.756465,4.156292
gene_80,ncbi4896,1.0,0.6749043513044377,10.398532,3.7000287,3.4103897,4.2486324,7.191529,5.2995787
gene_83,ncbi4896,1.0,0.7165077835985968,7.32105,2.5995758,1.6062809,3.2309194,8.090641,5.817167
gene_85,ncbi4896,0.1671897688793901,0.4353424217062138,8.811128,2.181206,0.6890196,4.2694225,9.82447,6.051608
gene_87,ncbi4896,0.7834938859670693,0.4742167614505339,12.154561,2.1286352,1.4713012,2.923236,7.439513,5.8271646
gene_88,ncbi4896,0.9489663314890924,1.0,9.185683,2.260604,4.7476215,4.4280605,8.68937,4.1575603
gene_96,ncbi4896,0.0639234899143988,0.2404147860743578,6.8397126,3.9713762,2.5254166,4.8531137,7.662513,6.3248086
gene_99,ncbi4896,1.0,1.0,8.73494,3.233221,3.3599167,4.7055187,8.508861,6.713508
gene_1,ncbi15368,1.0,0.8317001558265652,11.039213,2.9269433,2.238917,3.4282787,7.363352,6.521697
gene_2,ncbi15368,0.971593494419295,0.8626979091607665,8.516785,1.88552,0.70696056,4.5012608,9.749037,5.698814
gene_3,ncbi15368,0.5798536861515595,0.2527197058035234,8.598183,0.7010093,3.654048,4.880064,9.247072,5.8655105
gene_11,ncbi15368,0.2936677313648991,0.5511936173927598,11.91108,2.2750537,1.2598003,3.106027,7.413771,6.1621428
gene_12,ncbi15368,0.328731351031481,0.3297494408281767,12.658425,1.3654472,3.698322,3.9974744,7.597509,4.6449404
gene_13,ncbi15368,1.0,0.9089801615441828,9.642666,4.285726,3.8939393,5.3171153,8.851809,4.826959
gene_14,ncbi15368,0.2179980117714297,0.6413647718584723,14.1564665,1.5018293,4.0728283,3.6164935,7.83086,4.44592
gene_19,ncbi15368,0.4416136943373623,0.4252950912952569,4.872683,3.4297106,4.7470913,5.616362,8.401423,5.320411
gene_21,ncbi15368,0.181330549185556,0.047135681019416,9.512723,1.2871766,1.267697,3.3731444,9.769479,5.7110615
gene_23,ncbi15368,0.3314118042683232,0.7006630366370064,10.039423,1.7156606,3.507841,3.611453,8.8649235,4.8147464
gene_28,ncbi15368,0.8078123587542234,0.8967235283423712,5.4106693,3.4362347,1.1291466,5.649269,7.574838,5.9324384
gene_34,ncbi15368,1.0,1.0,13.334914,0.9482914,1.4478383,3.1780107,9.557216,5.442003
gene_40,ncbi15368,0.8748709944833766,0.4314544951210409,9.436562,3.874848,3.8108456,4.910978,9.193198,4.8574533
gene_41,ncbi15368,0.6913329139985005,0.2417152049015317,11.924228,1.3625064,2.9616616,2.7557387,8.335098,4.6928167
gene_42,ncbi15368,0.123160186639367,0.5574488263886115,6.478278,3.4350343,3.9628046,4.3414845,8.456232,5.600307
gene_44,ncbi15368,1.0,1.0,7.5152645,2.5412471,2.959117,3.7585413,8.491365,5.666775
gene_46,ncbi15368,0.7747304091930379,0.7927732954146262,13.338708,0.56801015,2.4130237,3.0681307,9.318077,5.5832663
gene_48,ncbi15368,0.578385063495788,0.7693339343716123,11.384515,1.7287366,2.934548,2.8565784,7.966784,4.9404774
gene_51,ncbi15368,0.7675637079117763,0.8769347953334596,11.531938,0.87265086,2.2209225,2.6845896,8.9463,5.629865
gene_55,ncbi15368,1.0,1.0,11.3311,3.9382775,4.497911,5.3952885,8.362476,4.7072315
gene_56,ncbi15368,1.0,0.8246196226857019,13.262347,0.7321146,2.8946996,3.8392627,8.996313,5.670098
gene_59,ncbi15368,0.7393092235085829,0.5189396861763975,12.990289,4.1973433,1.9481895,4.7914014,7.009554,5.9205546
gene_61,ncbi15368,0.9449169713948,0.6848027501773093,5.7748513,2.778988,4.6697693,5.0953856,7.7253437,5.435561
gene_64,ncbi15368,1.0,0.8989752239475889,13.742388,1.8620224,4.109335,3.649348,8.011838,4.30569
gene_65,ncbi15368,1.0,0.9473604414010558,10.724085,0.89532214,2.2703698,4.1079416,9.142031,6.477188
gene_66,ncbi15368,0.4314322088545178,0.7760721223783503,6.927721,2.0637054,2.0666306,3.0099728,7.3922606,5.6135116
gene_68,ncbi15368,0.9660207275904514,0.7401542960836626,6.7524686,3.9970531,2.8551795,4.490398,7.719668,5.9496527
gene_73,ncbi15368,1.0,1.0,5.973873,2.813056,4.6472297,4.9059906,8.069737,5.27284
gene_74,ncbi15368,1.0,0.5670197234702602,4.572222,3.290073,4.6254044,5.2935867,8.687693,5.257769
gene_75,ncbi15368,1.0,1.0,11.925037,3.486919,2.9971435,4.2944617,6.8311768,5.632206
gene_79,ncbi15368,0.1004964126316192,0.4829002096001756,12.473607,1.3535368,3.282665,3.0968685,8.350921,4.473751
gene_80,ncbi15368,0.2201387962968113,0.0269625760141366,10.398532,3.7000287,3.4103897,4.2486324,7.191529,5.2995787
gene_81,ncbi15368,0.3422881975787162,0.1910683518615048,9.097842,1.6943201,1.8622415,2.9143617,8.790617,6.071792
gene_82,ncbi15368,1.0,0.7710892399081294,8.365836,0.81146,3.9931872,4.500238,9.624012,5.3761706
gene_89,ncbi15368,0.897054371874325,0.7002351006164116,8.23874,1.1159868,4.413054,4.422991,9.360146,4.8184276
gene_90,ncbi15368,0.1710871974262521,0.1969550242347368,8.189567,1.7984698,1.267925,3.2789788,8.4237385,6.397824
gene_91,ncbi15368,0.6556375493622376,0.2463145354065067,4.9770184,3.086531,5.151738,5.4941025,7.7211533,5.017087
gene_93,ncbi15368,0.1166579937787417,0.1216011155735854,9.642303,2.5257912,4.20717,4.042684,8.151111,4.4147577
gene_96,ncbi15368,0.32089310361334,0.3374387278805539,6.8397126,3.9713762,2.5254166,4.8531137,7.662513,6.3248086
gene_98,ncbi15368,1.0,1.0,5.8426967,2.435973,5.257016,5.114017,7.634966,4.742463
gene_3,ncbi188937,0.6130117343798162,0.7288396318459507,8.598183,0.7010093,3.654048,4.880064,9.247072,5.8655105
gene_4,ncbi188937,0.5942176206793334,0.3938349578503726,12.139848,3.7874973,3.1594172,4.1812143,6.9497366,5.56696
gene_5,ncbi188937,1.0,1.0,6.035023,3.576343,5.38077,5.6237717,7.8006954,4.5593505
gene_9,ncbi188937,1.0,0.82363205903495,12.686382,3.0198524,2.722884,3.7236743,7.5376644,5.981882
gene_10,ncbi188937,0.5161955731260969,0.1247747699187613,6.11205,2.7015276,5.3972054,4.798226,7.515172,4.4991255
gene_11,ncbi188937,0.2036912739660794,0.3275096585025531,11.91108,2.2750537,1.2598003,3.106027,7.413771,6.1621428
gene_12,ncbi188937,1.0,1.0,12.658425,1.3654472,3.698322,3.9974744,7.597509,4.6449404
gene_13,ncbi188937,0.6965535115161375,0.638815245890878,9.642666,4.285726,3.8939393,5.3171153,8.851809,4.826959
gene_15,ncbi188937,0.5559349403752312,0.1610486637016172,5.043551,3.7576373,5.052322,5.749716,7.8336215,5.1626678
gene_17,ncbi188937,0.3599596661686784,0.666548823948933,10.618183,2.4416375,1.8220483,3.1631837,7.898908,6.4333076
gene_19,ncbi188937,0.5619940908648664,0.4240324473559868,4.872683,3.4297106,4.7470913,5.616362,8.401423,5.320411
gene_22,ncbi188937,0.0665200156043685,0.3843705355967825,5.514098,3.5292373,4.612077,5.4436154,8.552941,5.398787
gene_23,ncbi188937,0.941690046031276,0.9536963156342112,10.039423,1.7156606,3.507841,3.611453,8.8649235,4.8147464
gene_28,ncbi188937,0.6905217825046218,0.5003962116848812,5.4106693,3.4362347,1.1291466,5.649269,7.574838,5.9324384
gene_29,ncbi188937,0.3691994198568782,0.3289263623900033,7.941163,2.4321177,3.451729,4.0525246,7.9217443,5.544235
gene_30,ncbi188937,1.0,1.0,9.710037,2.9060621,3.8531752,3.8035223,9.480624,4.8286223
gene_34,ncbi188937,0.8470144406718235,0.418368532279682,13.334914,0.9482914,1.4478383,3.1780107,9.557216,5.442003
gene_35,ncbi188937,0.4992968179626761,0.2898956007172748,12.813474,0.9491984,1.6298596,3.0630352,9.702727,5.3081617
gene_37,ncbi188937,0.0760437942435405,0.3779948721971243,10.466733,1.9122577,3.5909276,3.5138888,8.039787,4.7995048
gene_42,ncbi188937,1.0,1.0,6.478278,3.4350343,3.9628046,4.3414845,8.456232,5.600307
gene_43,ncbi188937,1.0,1.0,9.980852,1.9821296,3.7584941,3.8655543,8.424636,4.9561553
gene_45,ncbi188937,0.1708642058752928,0.1565493831157503,9.472496,2.0989556,4.422719,3.8510494,8.859487,4.5085936
gene_48,ncbi188937,0.088664077020879,0.0602894140785996,11.384515,1.7287366,2.934548,2.8565784,7.966784,4.9404774
gene_49,ncbi188937,0.1289645640078201,0.0577361149076009,13.815585,2.5996385,1.5170097,3.6506357,9.353295,5.452913
gene_56,ncbi188937,1.0,0.882816209623432,13.262347,0.7321146,2.8946996,3.8392627,8.996313,5.670098
gene_57,ncbi188937,1.0,0.874961617622044,10.313452,2.537412,0.75108844,4.758501,9.65226,6.016557
gene_58,ncbi188937,1.0,1.0,13.667101,2.2158685,4.5913887,4.303262,8.216528,4.2810802
gene_59,ncbi188937,0.5052186730686313,0.8231621117169985,12.990289,4.1973433,1.9481895,4.7914014,7.009554,5.9205546
gene_63,ncbi188937,0.5678721032633599,0.8756029102172213,12.352763,2.0533986,3.1199799,3.8330925,7.3017826,5.0112767
gene_64,ncbi188937,1.0,1.0,13.742388,1.8620224,4.109335,3.649348,8.011838,4.30569
gene_65,ncbi188937,0.5794100147989706,0.1555304094743848,10.724085,0.89532214,2.2703698,4.1079416,9.142031,6.477188
gene_68,ncbi188937,0.8165088396730685,0.5707503729594714,6.7524686,3.9970531,2.8551795,4.490398,7.719668,5.9496527
gene_71,ncbi188937,1.0,1.0,12.708669,3.9174562,2.1536138,4.893048,7.2523026,6.2238007
gene_72,ncbi188937,0.4454877153789368,0.3820965210053584,10.838475,1.797599,2.720808,2.9582615,8.9537,5.0841103
gene_73,ncbi188937,0.3611607124175209,0.7870323744730288,5.973873,2.813056,4.6472297,4.9059906,8.069737,5.27284
gene_75,ncbi188937,0.9124203806460304,0.7913865491450388,11.925037,3.486919,2.9971435,4.2944617,6.8311768,5.632206
gene_77,ncbi188937,1.0,0.6281346019509646,7.6023636,3.5427518,2.1196659,4.3299356,7.8025155,6.6033187
gene_78,ncbi188937,0.4489102781548009,0.4744439660124717,5.290385,4.08373,2.0771587,5.207581,7.249124,5.872507
gene_79,ncbi188937,0.6190249230066058,1.0,12.473607,1.3535368,3.282665,3.0968685,8.350921,4.473751
gene_82,ncbi188937,1.0,1.0,8.365836,0.81146,3.9931872,4.500238,9.624012,5.3761706
gene_83,ncbi188937,0.3601642132647116,0.4488277943103816,7.32105,2.5995758,1.6062809,3.2309194,8.090641,5.817167
gene_85,ncbi188937,0.6538370612291964,0.8147395947082459,8.811128,2.181206,0.6890196,4.2694225,9.82447,6.051608
gene_86,ncbi188937,1.0,0.6946147062504882,10.526399,2.7750385,2.39047,3.408575,7.795801,6.250037
gene_89,ncbi188937,0.2195492452288813,0.1377335788241629,8.23874,1.1159868,4.413054,4.422991,9.360146,4.8184276
gene_96,ncbi188937,0.5975090408544854,0.3632079225445729,6.8397126,3.9713762,2.5254166,4.8531137,7.662513,6.3248086
gene_98,ncbi188937,0.3209346758957441,0.5662535311710439,5.8426967,2.435973,5.257016,5.114017,7.634966,4.742463
gene_99,ncbi188937,0.6537789903491882,0.7109703153425116,8.73494,3.233221,3.3599167,4.7055187,8.508861,6.713508
gene_0,ncbi45351,0.236585691563162,0.6257463010837363,10.255254,2.2532864,4.343888,4.115724,8.870688,4.0983877
gene_6,ncbi45351,0.3132298133580428,0.7420738212974418,9.282179,2.761397,5.0356917,4.821098,8.108823,4.671787
gene_7,ncbi45351,1.0,1.0,4.318346,2.8371618,4.2636003,4.20055,7.9254975,5.156811
gene_9,ncbi45351,0.7093430996803085,0.489036567498323,12.686382,3.0198524,2.722884,3.7236743,7.5376644,5.981882
gene_12,ncbi45351,1.0,1.0,12.658425,1.3654472,3.698322,3.9974744,7.597509,4.6449404
gene_15,ncbi45351,1.0,0.8341109237298046,5.043551,3.7576373,5.052322,5.749716,7.8336215,5.1626678
gene_19,ncbi45351,1.0,0.9581704198141774,4.872683,3.4297106,4.7470913,5.616362,8.401423,5.320411
gene_22,ncbi45351,0.3718947933214441,0.8159452758570247,5.514098,3.5292373,4.612077,5.4436154,8.552941,5.398787
gene_26,ncbi45351,0.7542047718437044,1.0,6.4995885,2.1629205,3.2300086,4.833916,8.489701,6.2024703
gene_29,ncbi45351,0.3077793105620551,0.3876698638165983,7.941163,2.4321177,3.451729,4.0525246,7.9217443,5.544235
gene_30,ncbi45351,1.0,0.6129696898734129,9.710037,2.9060621,3.8531752,3.8035223,9.480624,4.8286223
gene_31,ncbi45351,1.0,0.6240481104091931,11.529224,1.6116428,2.564466,2.6047385,8.109529,5.321816
gene_34,ncbi45351,0.1630749399829051,0.2996142252191089,13.334914,0.9482914,1.4478383,3.1780107,9.557216,5.442003
gene_35,ncbi45351,1.0,0.9049203886176892,12.813474,0.9491984,1.6298596,3.0630352,9.702727,5.3081617
gene_36,ncbi45351,1.0,0.6460838420630312,6.4714684,2.3357344,2.9553828,4.861984,8.383441,6.229549
gene_41,ncbi45351,1.0,0.9778336324524818,11.924228,1.3625064,2.9616616,2.7557387,8.335098,4.6928167
gene_43,ncbi45351,0.2165005684805176,0.478939547193236,9.980852,1.9821296,3.7584941,3.8655543,8.424636,4.9561553
gene_47,ncbi45351,1.0,1.0,11.203771,1.1855278,1.7171795,3.2921643,9.721654,5.167454
gene_48,ncbi45351,0.7431910139315843,0.9304930011733004,11.384515,1.7287366,2.934548,2.8565784,7.966784,4.9404774
gene_50,ncbi45351,1.0,0.9065780972936688,7.337438,2.138252,1.9798611,2.8215642,8.246683,5.8716254
gene_54,ncbi45351,1.0,0.8096298199088522,10.94376,0.92543495,2.590534,3.8902452,8.951145,6.339389
gene_56,ncbi45351,1.0,1.0,13.262347,0.7321146,2.8946996,3.8392627,8.996313,5.670098
gene_61,ncbi45351,0.3001561446430779,0.6499583707553824,5.7748513,2.778988,4.6697693,5.0953856,7.7253437,5.435561
gene_65,ncbi45351,0.6961313591936543,0.320454208912374,10.724085,0.89532214,2.2703698,4.1079416,9.142031,6.477188
gene_66,ncbi45351,0.3997592556634061,0.7424369911323286,6.927721,2.0637054,2.0666306,3.0099728,7.3922606,5.6135116
gene_67,ncbi45351,0.049274163811325,0.4779986836144018,9.093998,0.911661,3.3049989,4.3494043,8.935952,5.9205427
gene_69,ncbi45351,1.0,0.7463475749180978,11.530961,1.3988471,2.3623052,2.668085,8.7871685,5.376838
gene_72,ncbi45351,0.5621867243437987,0.6245255360502852,10.838475,1.797599,2.720808,2.9582615,8.9537,5.0841103
gene_73,ncbi45351,1.0,1.0,5.973873,2.813056,4.6472297,4.9059906,8.069737,5.27284
gene_74,ncbi45351,1.0,1.0,4.572222,3.290073,4.6254044,5.2935867,8.687693,5.257769
gene_78,ncbi45351,0.3580217913084966,0.7081299833367365,5.290385,4.08373,2.0771587,5.207581,7.249124,5.872507
gene_79,ncbi45351,1.0,1.0,12.473607,1.3535368,3.282665,3.0968685,8.350921,4.473751
gene_84,ncbi45351,1.0,1.0,8.925274,3.1890028,1.9767823,4.4518704,8.5104,6.825685
gene_91,ncbi45351,1.0,0.7283803233052274,4.9770184,3.086531,5.151738,5.4941025,7.7211533,5.017087
gene_94,ncbi45351,0.3387065735968065,0.5297965547101038,11.144843,1.4760733,2.5869317,2.7819462,8.344657,5.1293344
gene_96,ncbi45351,0.5661756627688685,0.2651205371002714,6.8397126,3.9713762,2.5254166,4.8531137,7.662513,6.3248086
gene_14,ncbi12814,1.0,1.0,14.1564665,1.5018293,4.0728283,3.6164935,7.83086,4.44592
gene_16,ncbi12814,0.7689756502517537,1.0,7.779359,1.6138403,1.4580591,3.5926588,8.506019,6.6508746
gene_18,ncbi12814,0.4778063029229278,0.8690769071965558,8.650636,3.00174,1.1161977,4.8716307,9.022034,6.454273
gene_20,ncbi12814,1.0,0.8842057245259339,7.853529,1.5750967,4.7185416,4.3369303,9.057441,4.5271993
gene_21,ncbi12814,0.553574788895389,0.2111247366376893,9.512723,1.2871766,1.267697,3.3731444,9.769479,5.7110615
gene_25,ncbi12814,1.0,0.9749478167186336,8.478969,1.584925,0.7998588,3.8007853,9.843528,5.953625
gene_26,ncbi12814,1.0,1.0,6.4995885,2.1629205,3.2300086,4.833916,8.489701,6.2024703
gene_27,ncbi12814,0.2984545506854483,0.2029249631235952,7.693835,2.8682773,3.0415652,3.9382405,8.16623,6.1951914
gene_30,ncbi12814,0.99257247055696,1.0,9.710037,2.9060621,3.8531752,3.8035223,9.480624,4.8286223
gene_31,ncbi12814,0.7128407056896243,0.6916341096980099,11.529224,1.6116428,2.564466,2.6047385,8.109529,5.321816
gene_35,ncbi12814,0.0007155990722966,0.4075401280391154,12.813474,0.9491984,1.6298596,3.0630352,9.702727,5.3081617
gene_37,ncbi12814,0.0773000898163209,0.0972207246037588,10.466733,1.9122577,3.5909276,3.5138888,8.039787,4.7995048
gene_43,ncbi12814,0.7433417134035841,0.979197651072628,9.980852,1.9821296,3.7584941,3.8655543,8.424636,4.9561553
gene_44,ncbi12814,0.5589158474986833,0.114060035147498,7.5152645,2.5412471,2.959117,3.7585413,8.491365,5.666775
gene_45,ncbi12814,0.2660379970762107,0.6118490670409937,9.472496,2.0989556,4.422719,3.8510494,8.859487,4.5085936
gene_46,ncbi12814,1.0,0.8084717001071209,13.338708,0.56801015,2.4130237,3.0681307,9.318077,5.5832663
gene_47,ncbi12814,1.0,1.0,11.203771,1.1855278,1.7171795,3.2921643,9.721654,5.167454
gene_48,ncbi12814,0.0101561397511115,0.2555018240779392,11.384515,1.7287366,2.934548,2.8565784,7.966784,4.9404774
gene_54,ncbi12814,0.0368794086452125,0.1309170456096643,10.94376,0.92543495,2.590534,3.8902452,8.951145,6.339389
gene_56,ncbi12814,1.0,1.0,13.262347,0.7321146,2.8946996,3.8392627,8.996313,5.670098
gene_57,ncbi12814,1.0,0.8893640163033142,10.313452,2.537412,0.75108844,4.758501,9.65226,6.016557
gene_59,ncbi12814,0.5682852605415908,0.3695346591547317,12.990289,4.1973433,1.9481895,4.7914014,7.009554,5.9205546
gene_62,ncbi12814,0.4836963403984144,0.3188871036318776,10.099831,2.374575,3.8193996,3.2499993,8.123515,4.6033187
gene_64,ncbi12814,1.0,1.0,13.742388,1.8620224,4.109335,3.649348,8.011838,4.30569
gene_65,ncbi12814,1.0,1.0,10.724085,0.89532214,2.2703698,4.1079416,9.142031,6.477188
gene_66,ncbi12814,0.4114768061477393,0.179822479344576,6.927721,2.0637054,2.0666306,3.0099728,7.3922606,5.6135116
gene_72,ncbi12814,0.0967661701872832,0.2360152427720129,10.838475,1.797599,2.720808,2.9582615,8.9537,5.0841103
gene_77,ncbi12814,0.5899426713999608,0.7555704090350908,7.6023636,3.5427518,2.1196659,4.3299356,7.8025155,6.6033187
gene_79,ncbi12814,0.887771894484331,1.0,12.473607,1.3535368,3.282665,3.0968685,8.350921,4.473751
gene_80,ncbi12814,1.0,0.7484572831526424,10.398532,3.7000287,3.4103897,4.2486324,7.191529,5.2995787
gene_81,ncbi12814,0.4602526570746029,0.5277903993288736,9.097842,1.6943201,1.8622415,2.9143617,8.790617,6.071792
gene_84,ncbi12814,0.5889358081251258,0.4306213433006682,8.925274,3.1890028,1.9767823,4.4518704,8.5104,6.825685
gene_85,ncbi12814,1.0,1.0,8.811128,2.181206,0.6890196,4.2694225,9.82447,6.051608
gene_87,ncbi12814,0.0954141356905748,0.1789214947763916,12.154561,2.1286352,1.4713012,2.923236,7.439513,5.8271646
gene_89,ncbi12814,1.0,0.7879222839241456,8.23874,1.1159868,4.413054,4.422991,9.360146,4.8184276
gene_91,ncbi12814,1.0,1.0,4.9770184,3.086531,5.151738,5.4941025,7.7211533,5.017087
gene_95,ncbi12814,1.0,1.0,8.871607,2.8380466,0.81250346,4.8120403,9.539873,6.2292843
gene_97,ncbi12814,0.2084633871731967,0.1159161958147559,8.147828,1.4281749,1.0717843,3.3939013,9.551633,6.13381
gene_13,ncbi5141,1.0,1.0,9.642666,4.285726,3.8939393,5.3171153,8.851809,4.826959
gene_16,ncbi5141,0.3774423440523739,0.5120814036694178,7.779359,1.6138403,1.4580591,3.5926588,8.506019,6.6508746
gene_18,ncbi5141,0.9140048018464534,1.0,8.650636,3.00174,1.1161977,4.8716307,9.022034,6.454273
gene_19,ncbi5141,0.7276113762304783,0.4835485396211402,4.872683,3.4297106,4.7470913,5.616362,8.401423,5.320411
gene_20,ncbi5141,1.0,0.5983164092165155,7.853529,1.5750967,4.7185416,4.3369303,9.057441,4.5271993
gene_21,ncbi5141,0.5479767575776495,0.9700389481485536,9.512723,1.2871766,1.267697,3.3731444,9.769479,5.7110615
gene_22,ncbi5141,0.7016683594396502,0.6686334870221647,5.514098,3.5292373,4.612077,5.4436154,8.552941,5.398787
gene_24,ncbi5141,0.4792212199990514,0.4350452162632386,7.1661844,3.611269,2.7079854,4.7506323,7.8992343,6.7293725
gene_26,ncbi5141,0.3621951558340684,0.0310356839596221,6.4995885,2.1629205,3.2300086,4.833916,8.489701,6.2024703
gene_27,ncbi5141,1.0,1.0,7.693835,2.8682773,3.0415652,3.9382405,8.16623,6.1951914
gene_28,ncbi5141,1.0,0.8100951396788673,5.4106693,3.4362347,1.1291466,5.649269,7.574838,5.9324384
gene_29,ncbi5141,0.9929719781693288,1.0,7.941163,2.4321177,3.451729,4.0525246,7.9217443,5.544235
gene_30,ncbi5141,0.6374801170889631,0.7372343356141334,9.710037,2.9060621,3.8531752,3.8035223,9.480624,4.8286223
gene_32,ncbi5141,0.2497248162889065,0.2602395202187983,6.9088855,3.8197412,2.5359542,4.8492537,7.890157,6.593264
gene_34,ncbi5141,1.0,1.0,13.334914,0.9482914,1.4478383,3.1780107,9.557216,5.442003
gene_36,ncbi5141,1.0,1.0,6.4714684,2.3357344,2.9553828,4.861984,8.383441,6.229549
gene_37,ncbi5141,0.2019003763470785,0.1958859960916062,10.466733,1.9122577,3.5909276,3.5138888,8.039787,4.7995048
gene_38,ncbi5141,1.0,1.0,9.398608,2.7007492,2.1974986,3.4340005,7.971268,6.689746
gene_39,ncbi5141,0.2351393454662704,0.4124300963899104,7.0407853,2.4599178,2.3352864,4.17649,7.1726913,6.2936034
gene_40,ncbi5141,0.7399950997855326,1.0,9.436562,3.874848,3.8108456,4.910978,9.193198,4.8574533
gene_42,ncbi5141,0.4359900027572415,0.6142541242823316,6.478278,3.4350343,3.9628046,4.3414845,8.456232,5.600307
gene_43,ncbi5141,0.648772589878477,0.6377112202019735,9.980852,1.9821296,3.7584941,3.8655543,8.424636,4.9561553
gene_44,ncbi5141,0.7692312214619953,1.0,7.5152645,2.5412471,2.959117,3.7585413,8.491365,5.666775
gene_45,ncbi5141,0.7352365206760212,0.654143669729201,9.472496,2.0989556,4.422719,3.8510494,8.859487,4.5085936
gene_46,ncbi5141,0.6790973267314486,0.5477688073620783,13.338708,0.56801015,2.4130237,3.0681307,9.318077,5.5832663
gene_47,ncbi5141,1.0,1.0,11.203771,1.1855278,1.7171795,3.2921643,9.721654,5.167454
gene_48,ncbi5141,0.3901821191137947,0.3028167578668545,11.384515,1.7287366,2.934548,2.8565784,7.966784,4.9404774
gene_55,ncbi5141,0.2655397228965326,0.5684729804114701,11.3311,3.9382775,4.497911,5.3952885,8.362476,4.7072315
gene_56,ncbi5141,1.0,0.7061140796793006,13.262347,0.7321146,2.8946996,3.8392627,8.996313,5.670098
gene_59,ncbi5141,0.5705342018977533,0.8677491007910079,12.990289,4.1973433,1.9481895,4.7914014,7.009554,5.9205546
gene_60,ncbi5141,1.0,0.8848515370134645,8.732002,0.86423033,3.6031249,4.6206594,9.031999,5.6409225
gene_61,ncbi5141,1.0,1.0,5.7748513,2.778988,4.6697693,5.0953856,7.7253437,5.435561
gene_63,ncbi5141,1.0,1.0,12.352763,2.0533986,3.1199799,3.8330925,7.3017826,5.0112767
gene_67,ncbi5141,0.0818307554172791,0.3561306181661799,9.093998,0.911661,3.3049989,4.3494043,8.935952,5.9205427
gene_68,ncbi5141,0.4244358097914222,0.411915247182978,6.7524686,3.9970531,2.8551795,4.490398,7.719668,5.9496527
gene_71,ncbi5141,0.5645193128833816,0.9561255511835484,12.708669,3.9174562,2.1536138,4.893048,7.2523026,6.2238007
gene_73,ncbi5141,0.7186907424313488,1.0,5.973873,2.813056,4.6472297,4.9059906,8.069737,5.27284
